pollster,poll_id,state,methodology,sample_size,candidate_name,pct
SurveyUSA,67714,North Dakota,Text,7196,Donald Trump,0.5666475567975687
SurveyUSA,67714,North Dakota,Text,7196,Kamala Harris,0.3887375061856452
SurveyUSA,67714,North Dakota,Email,7196,Jill Stein,0.023654098772836314
SurveyUSA,67714,North Dakota,Phone,7196,Robert F. Kennedy,0.02096083824394975
Emerson,84276,Ohio,Phone,11329,Donald Trump,0.576088161839289
Emerson,84276,Ohio,Online Panel,11329,Kamala Harris,0.3950083131167108
Emerson,84276,Ohio,Online Panel,11329,Jill Stein,0.01031105559134097
Emerson,84276,Ohio,Online Panel,11329,Robert F. Kennedy,0.018592469452659206
YouGov,51290,Oklahoma,Email,8841,Donald Trump,0.5590142032135103
YouGov,51290,Oklahoma,Online Panel,8841,Kamala Harris,0.39888746730223734
YouGov,51290,Oklahoma,Email,8841,Jill Stein,0.01610637742238576
YouGov,51290,Oklahoma,Online Panel,8841,Robert F. Kennedy,0.025991952061866618
SurveyUSA,63344,Oregon,Text,2288,Donald Trump,0.4076533054264597
SurveyUSA,63344,Oregon,IVR,2288,Kamala Harris,0.5420907019973912
SurveyUSA,63344,Oregon,IVR,2288,Jill Stein,0.022098900877360533
SurveyUSA,63344,Oregon,Email,2288,Robert F. Kennedy,0.028157091698788543
Ipsos,35179,Pennsylvania,Email,5276,Donald Trump,0.48545639300457444
Ipsos,35179,Pennsylvania,Online Panel,5276,Kamala Harris,0.4819780961041752
Ipsos,35179,Pennsylvania,Online Panel,5276,Jill Stein,0.01733636358254298
Ipsos,35179,Pennsylvania,Online Panel,5276,Robert F. Kennedy,0.015229147308707388
Marist,34049,Rhode Island,IVR,11741,Donald Trump,0.37733609136152546
Marist,34049,Rhode Island,IVR,11741,Kamala Harris,0.5849530385630918
Marist,34049,Rhode Island,Email,11741,Jill Stein,0.02411433719191454
Marist,34049,Rhode Island,IVR,11741,Robert F. Kennedy,0.013596532883468168
Marist,93175,South Carolina,Online Panel,19487,Donald Trump,0.5608442756807728
Marist,93175,South Carolina,IVR,19487,Kamala Harris,0.3894610737701788
Marist,93175,South Carolina,Online Panel,19487,Jill Stein,0.023903245249095206
Marist,93175,South Carolina,Online Panel,19487,Robert F. Kennedy,0.02579140529995315
Ipsos,88744,South Dakota,Email,5572,Donald Trump,0.6090017792351112
Ipsos,88744,South Dakota,Text,5572,Kamala Harris,0.38071870633991556
Ipsos,88744,South Dakota,Online Panel,5572,Jill Stein,0.008776713189033471
Ipsos,88744,South Dakota,Text,5572,Robert F. Kennedy,0.001502801235939752
SurveyUSA,91875,Tennessee,Phone,7112,Donald Trump,0.5892286229294873
SurveyUSA,91875,Tennessee,IVR,7112,Kamala Harris,0.37854127295578455
SurveyUSA,91875,Tennessee,IVR,7112,Jill Stein,0.016617776506543114
SurveyUSA,91875,Tennessee,Text,7112,Robert F. Kennedy,0.015612327608184977
Marist,49756,Texas,Online Panel,1224,Donald Trump,0.5696017513602509
Marist,49756,Texas,IVR,1224,Kamala Harris,0.4023200393984754
Marist,49756,Texas,IVR,1224,Jill Stein,0.008820299891268679
Marist,49756,Texas,Phone,1224,Robert F. Kennedy,0.019257909350005018
Emerson,13267,Utah,Phone,4597,Donald Trump,0.5159225132866062
Emerson,13267,Utah,Online Panel,4597,Kamala Harris,0.4517059059427654
Emerson,13267,Utah,IVR,4597,Jill Stein,0.028208828325965708
Emerson,13267,Utah,Text,4597,Robert F. Kennedy,0.004162752444662722
Marist,16938,Vermont,Phone,3219,Donald Trump,0.39695411736120173
Marist,16938,Vermont,Phone,3219,Kamala Harris,0.5874572649461123
Marist,16938,Vermont,Phone,3219,Jill Stein,0.01470698796136416
Marist,16938,Vermont,Email,3219,Robert F. Kennedy,8.816297313218729e-4
SurveyUSA,65376,Virginia,Online Panel,9379,Donald Trump,0.370022705625445
SurveyUSA,65376,Virginia,Phone,9379,Kamala Harris,0.6014865712654436
SurveyUSA,65376,Virginia,Phone,9379,Jill Stein,0.007198256189064634
SurveyUSA,65376,Virginia,Phone,9379,Robert F. Kennedy,0.021292466920046795
Marist,48716,Washington,Text,12076,Donald Trump,0.42854750682946824
Marist,48716,Washington,Phone,12076,Kamala Harris,0.5452296015477553
Marist,48716,Washington,Text,12076,Jill Stein,0.009249189470748298
Marist,48716,Washington,Email,12076,Robert F. Kennedy,0.016973702152028064
Marist,54211,West Virginia,Email,1722,Donald Trump,0.5712508850684571
Marist,54211,West Virginia,Text,1722,Kamala Harris,0.40886965807318054
Marist,54211,West Virginia,Email,1722,Jill Stein,0.008228078200877485
Marist,54211,West Virginia,Phone,1722,Robert F. Kennedy,0.01165137865748487
SurveyUSA,57941,Wisconsin,IVR,2106,Donald Trump,0.4457784256955386
SurveyUSA,57941,Wisconsin,IVR,2106,Kamala Harris,0.5179754059659538
SurveyUSA,57941,Wisconsin,Text,2106,Jill Stein,0.014368960761205467
SurveyUSA,57941,Wisconsin,IVR,2106,Robert F. Kennedy,0.021877207577302205
Marist,39820,Wyoming,Online Panel,18792,Donald Trump,0.5734582240999334
Marist,39820,Wyoming,Email,18792,Kamala Harris,0.39572982598470563
Marist,39820,Wyoming,Text,18792,Jill Stein,0.026461144095473062
Marist,39820,Wyoming,Text,18792,Robert F. Kennedy,0.0043508058198878895
SurveyUSA,11200,National,Phone,10878,Donald Trump,0.45177619822535736
SurveyUSA,11200,National,Phone,10878,Kamala Harris,0.4991572880233482
SurveyUSA,11200,National,Text,10878,Jill Stein,0.02705427870534214
SurveyUSA,11200,National,Email,10878,Robert F. Kennedy,0.022012235045952254
